Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 840
Submitting 840 granules to the pool...
[112/840] [114] HLS.L30.T10TEL.2021112T184430.v2.0: wrote 8 files
[113/840] [115] HLS.L30.T10TFL.2021112T184430.v2.0: wrote 8 files
[114/840] [117] HLS.L30.T10TGL.2021112T184430.v2.0: wrote 8 files
[115/840] [111] HLS.L30.T10TGM.2021112T184406.v2.0: wrote 8 files
[116/840] [107] HLS.S30.T10TDM.2021110T190909.v2.0: wrote 8 files
[117/840] [112] HLS.L30.T11TKG.2021112T184406.v2.0: wrote 8 files
[118/840] [123] HLS.S30.T10TFL.2021112T185911.v2.0: wrote 8 files
[119/840] [122] HLS.S30.T10TCM.2021112T185911.v2.0: wrote 8 files
[120/840] [124] HLS.S30.T10TEL.2021112T185911.v2.0: wrote 8 files
[121/840] [113] HLS.L30.T10TFM.2021112T184430.v2.0: wrote 8 files
[122/840] [126] HLS.S30.T10TCL.2021112T185911.v2.0: wrote 8 files
[123/840] [125] HLS.S30.T10TDL.2021112T185911.v2.0: wrote 8 files
[124/840] [118] HLS.L30.T10TEM.2021112T184430.v2.0: wrote 8 files
[125/840] [119] HLS.S30.T10TFM.2021112T185911.v2.0: wrote 8 files
[126/840] [120] HLS.S30.T10TEM.2021112T185911.v2.0: wrote 8 files
[127/840] [121] HLS.S30.T10TDM.2021112T185911.v2.0: wrote 8 files
[128/840] [127] HLS.S30.T10TGM.2021114T184909.v2.0: wrote 8 files
[129/840] [131] HLS.S30.T11TKF.2021114T184909.v2.0: wrote 8 files
[130/840] [128] HLS.S30.T11TKG.2021114T184909.v2.0: wrote 8 files
[131/840] [132] HLS.S30.T10TGL.2021114T184909.v2.0: wrote 8 files
[132/840] [134] HLS.S30.T10TEL.2021114T184909.v2.0: wrote 8 files
[133/840] [133] HLS.S30.T10TFL.2021114T184909.v2.0: wrote 8 files
[134/840] [136] HLS.S30.T10TCM.2021115T190911.v2.0: wrote 8 files
[135/840] [138] HLS.S30.T10TCL.2021115T190911.v2.0: wrote 8 files
[136/840] [137] HLS.S30.T10TDL.2021115T190911.v2.0: wrote 8 files
[137/840] [129] HLS.S30.T10TFM.2021114T184909.v2.0: wrote 8 files
[138/840] [130] HLS.S30.T10TEM.2021114T184909.v2.0: wrote 8 files
[139/840] [140] HLS.L30.T10TCM.2021117T190236.v2.0: wrote 8 files
[140/840] [135] HLS.S30.T10TDM.2021115T190911.v2.0: wrote 8 files
[141/840] [144] HLS.S30.T10TCM.2021117T185909.v2.0: wrote 8 files
[142/840] [145] HLS.S30.T10TFL.2021117T185909.v2.0: wrote 8 files
[143/840] [146] HLS.S30.T10TEL.2021117T185909.v2.0: wrote 8 files
[144/840] [139] HLS.L30.T10TDM.2021117T190236.v2.0: wrote 8 files
[145/840] [148] HLS.S30.T10TCL.2021117T185909.v2.0: wrote 8 files
[146/840] [147] HLS.S30.T10TDL.2021117T185909.v2.0: wrote 8 files
[147/840] [141] HLS.S30.T10TFM.2021117T185909.v2.0: wrote 8 files
[148/840] [142] HLS.S30.T10TEM.2021117T185909.v2.0: wrote 8 files
[149/840] [143] HLS.S30.T10TDM.2021117T185909.v2.0: wrote 8 files
[150/840] [151] HLS.L30.T10TDL.2021119T185037.v2.0: wrote 8 files
[151/840] [152] HLS.L30.T10TFL.2021119T185037.v2.0: wrote 8 files
[152/840] [153] HLS.L30.T10TEL.2021119T185037.v2.0: wrote 8 files
[153/840] [149] HLS.L30.T10TFM.2021119T185013.v2.0: wrote 8 files
[154/840] [155] HLS.S30.T10TGM.2021119T184921.v2.0: wrote 8 files
[155/840] [159] HLS.S30.T11TKF.2021119T184921.v2.0: wrote 8 files
[156/840] [150] HLS.L30.T10TEM.2021119T185013.v2.0: wrote 8 files
[157/840] [156] HLS.S30.T11TKG.2021119T184921.v2.0: wrote 8 files
[158/840] [154] HLS.L30.T10TDM.2021119T185037.v2.0: wrote 8 files
[159/840] [160] HLS.S30.T10TGL.2021119T184921.v2.0: wrote 8 files
[160/840] [161] HLS.S30.T10TFL.2021119T184921.v2.0: wrote 8 files
[161/840] [162] HLS.S30.T10TEL.2021119T184921.v2.0: wrote 8 files
[162/840] [166] HLS.S30.T10TCL.2021120T190909.v2.0: wrote 8 files
[163/840] [157] HLS.S30.T10TFM.2021119T184921.v2.0: wrote 8 files
[164/840] [158] HLS.S30.T10TEM.2021119T184921.v2.0: wrote 8 files
[165/840] [164] HLS.S30.T10TCM.2021120T190909.v2.0: wrote 8 files
[166/840] [165] HLS.S30.T10TDL.2021120T190909.v2.0: wrote 8 files
[167/840] [167] HLS.L30.T11TKF.2021121T183814.v2.0: wrote 8 files
[168/840] [168] HLS.L30.T10TFL.2021121T183814.v2.0: wrote 8 files
[169/840] [170] HLS.L30.T10TGL.2021121T183814.v2.0: wrote 8 files
[170/840] [163] HLS.S30.T10TDM.2021120T190909.v2.0: wrote 8 files
[171/840] [171] HLS.L30.T10TGM.2021121T183814.v2.0: wrote 8 files
[172/840] [175] HLS.S30.T10TCM.2021122T185911.v2.0: wrote 8 files
[173/840] [169] HLS.L30.T11TKG.2021121T183814.v2.0: wrote 8 files
[174/840] [176] HLS.S30.T10TFL.2021122T185911.v2.0: wrote 8 files
[175/840] [177] HLS.S30.T10TEL.2021122T185911.v2.0: wrote 8 files
[176/840] [179] HLS.S30.T10TCL.2021122T185911.v2.0: wrote 8 files
[177/840] [172] HLS.S30.T10TFM.2021122T185911.v2.0: wrote 8 files
[178/840] [178] HLS.S30.T10TDL.2021122T185911.v2.0: wrote 8 files
[179/840] [173] HLS.S30.T10TEM.2021122T185911.v2.0: wrote 8 files
[180/840] [174] HLS.S30.T10TDM.2021122T185911.v2.0: wrote 8 files
[181/840] [184] HLS.S30.T11TKF.2021124T184919.v2.0: wrote 8 files
[182/840] [180] HLS.S30.T10TGM.2021124T184919.v2.0: wrote 8 files
[183/840] [185] HLS.S30.T10TGL.2021124T184919.v2.0: wrote 8 files
[184/840] [181] HLS.S30.T11TKG.2021124T184919.v2.0: wrote 8 files
[185/840] [186] HLS.S30.T10TFL.2021124T184919.v2.0: wrote 8 files
[186/840] [187] HLS.S30.T10TEL.2021124T184919.v2.0: wrote 8 files
[187/840] [191] HLS.S30.T10TCL.2021125T190911.v2.0: wrote 8 files
[188/840] [188] HLS.S30.T10TCM.2021125T190911.v2.0: wrote 8 files
[189/840] [190] HLS.S30.T10TDL.2021125T190911.v2.0: wrote 8 files
[190/840] [182] HLS.S30.T10TFM.2021124T184919.v2.0: wrote 8 files
[191/840] [183] HLS.S30.T10TEM.2021124T184919.v2.0: wrote 8 files
[192/840] [196] HLS.L30.T10TCL.2021126T185643.v2.0: wrote 8 files
[193/840] [194] HLS.L30.T10TEL.2021126T185643.v2.0: wrote 8 files
[194/840] [195] HLS.L30.T10TCM.2021126T185643.v2.0: wrote 8 files
[195/840] [189] HLS.S30.T10TDM.2021125T190911.v2.0: wrote 8 files
[196/840] [197] HLS.L30.T10TDL.2021126T185643.v2.0: wrote 8 files
[197/840] [201] HLS.S30.T10TCM.2021127T185919.v2.0: wrote 8 files
[198/840] [193] HLS.L30.T10TEM.2021126T185619.v2.0: wrote 8 files
[199/840] [192] HLS.L30.T10TDM.2021126T185619.v2.0: wrote 8 files
[200/840] [202] HLS.S30.T10TFL.2021127T185919.v2.0: wrote 8 files
[201/840] [203] HLS.S30.T10TEL.2021127T185919.v2.0: wrote 8 files
[202/840] [205] HLS.S30.T10TCL.2021127T185919.v2.0: wrote 8 files
[203/840] [198] HLS.S30.T10TFM.2021127T185919.v2.0: wrote 8 files
[204/840] [204] HLS.S30.T10TDL.2021127T185919.v2.0: wrote 8 files
[205/840] [208] HLS.L30.T11TKF.2021128T184423.v2.0: wrote 8 files
[206/840] [199] HLS.S30.T10TEM.2021127T185919.v2.0: wrote 8 files
[207/840] [200] HLS.S30.T10TDM.2021127T185919.v2.0: wrote 8 files
[208/840] [209] HLS.L30.T10TGL.2021128T184423.v2.0: wrote 8 files
[209/840] [207] HLS.L30.T10TGM.2021128T184359.v2.0: wrote 8 files
[210/840] [206] HLS.L30.T11TKG.2021128T184359.v2.0: wrote 8 files
[211/840] [211] HLS.L30.T10TFL.2021128T184423.v2.0: wrote 8 files
[212/840] [212] HLS.L30.T10TEL.2021128T184423.v2.0: wrote 8 files
[213/840] [218] HLS.S30.T11TKF.2021129T184921.v2.0: wrote 8 files
[214/840] [219] HLS.S30.T10TGL.2021129T184921.v2.0: wrote 8 files
[215/840] [214] HLS.S30.T10TGM.2021129T184921.v2.0: wrote 8 files
[216/840] [215] HLS.S30.T11TKG.2021129T184921.v2.0: wrote 8 files
[217/840] [210] HLS.L30.T10TFM.2021128T184423.v2.0: wrote 8 files
[218/840] [213] HLS.L30.T10TEM.2021128T184423.v2.0: wrote 8 files
[219/840] [220] HLS.S30.T10TFL.2021129T184921.v2.0: wrote 8 files
[220/840] [221] HLS.S30.T10TEL.2021129T184921.v2.0: wrote 8 files
[221/840] [225] HLS.S30.T10TCL.2021130T190909.v2.0: wrote 8 files
[222/840] [223] HLS.S30.T10TCM.2021130T190909.v2.0: wrote 8 files
[223/840] [216] HLS.S30.T10TFM.2021129T184921.v2.0: wrote 8 files
