,Min EVI,Max EVI,Mean EVI,Standard Deviation EVI,Median EVI,Count
2021-11-25 18:57:21,0.04683187,0.5969418,0.27422023,0.07261697,0.27120966,10126
2021-11-28 19:07:41,0.05057389,0.78840387,0.3316928,0.09366964,0.33247846,2359
2021-11-30 18:57:29,0.0024275603,0.7928177,0.29117122,0.07970564,0.27737254,8747
2021-12-02 18:45:38,0.02583753,1.0145028,0.2641556,0.08447968,0.2493909,13192
2021-12-03 19:07:49,0.028840266,0.8204564,0.24845003,0.08057646,0.23498574,13230
2021-12-05 18:57:51,0.07604784,0.5598512,0.347173,0.075484924,0.35795832,236
2021-12-09 18:51:49,0.022288261,0.9205729,0.24283628,0.08756212,0.22694787,13177
2021-12-10 18:45:37,0.005674563,0.9856557,0.25359863,0.09049857,0.23776075,13179
2021-12-10 18:57:59,-0.14618567,0.8016148,0.24132836,0.08347951,0.22606649,13216
2021-12-17 18:51:44,0.017069064,0.869158,0.23600532,0.090456985,0.22059399,13055
2021-12-18 18:45:36,0.053701892,0.435116,0.20018283,0.04141212,0.19964567,10982
