run,epoch,train_loss,train_mae,val_loss,val_mae,lr
resnet18_version_11_6611,33,0.2731,0.6007,0.3162,0.6572,2.5e-06
resnet18_version_11_6611,34,0.2725,0.5997,0.315,0.6571,2.5e-06
resnet18_version_11_6611,35,0.2722,0.5991,0.3171,0.6595,2.5e-06
resnet18_version_11_6611,36,0.2706,0.5973,0.3166,0.6587,2.5e-06
resnet18_version_11_6611,37,0.2703,0.5965,0.3196,0.6628,1.25e-06
resnet18_version_11_6611,38,0.2683,0.5935,0.3184,0.6608,1.25e-06
resnet18_version_11_6611,39,0.2669,0.5914,0.3156,0.6568,1.25e-06
resnet18_version_11_6611,40,0.2674,0.5921,0.3164,0.6575,1.25e-06
resnet18_version_11_6611,41,0.2665,0.5909,0.3175,0.6593,1.25e-06
resnet18_version_11_6611,42,0.2665,0.591,0.3182,0.6598,1.25e-06
resnet18_version_11_6611,43,0.2655,0.5896,0.318,0.6614,6.25e-07
resnet18_version_11_6611,44,0.2648,0.5879,0.3188,0.6614,6.25e-07
resnet18_version_11_6611,45,0.2637,0.5867,0.3171,0.6591,6.25e-07
resnet18_version_11_6611,46,0.2639,0.5868,0.3187,0.6603,6.25e-07
resnet18_version_11_6611,47,0.264,0.5871,0.3186,0.6613,6.25e-07
resnet18_version_11_6611,48,0.263,0.5857,0.3182,0.6598,6.25e-07
resnet18_version_11_6611,49,0.2635,0.5865,0.3183,0.6602,3.13e-07
resnet18_version_11_6611,50,0.2624,0.5847,0.3189,0.6607,3.13e-07
resnet18_version_11_6611,51,0.2615,0.5835,0.319,0.6613,3.13e-07
resnet18_version_11_6611,52,0.2624,0.5843,0.3181,0.6608,3.13e-07
resnet18_version_11_6611,53,0.2624,0.5844,0.3186,0.6601,3.13e-07
resnet18_version_11_6611,54,0.2622,0.5843,0.3186,0.6614,3.13e-07
resnet18_version_11_6611,55,0.2613,0.5834,0.3189,0.6604,1.56e-07
resnet18_version_11_6611,56,0.2616,0.5833,0.3184,0.6606,1.56e-07
resnet18_version_11_6611,57,0.2614,0.5831,0.3186,0.6605,1.56e-07
resnet18_version_11_6611,58,0.2616,0.5834,0.3186,0.6601,1.56e-07
resnet18_version_11_6611,59,0.2605,0.5818,0.3196,0.6621,1.56e-07
resnet18_version_11_6611,60,0.2615,0.5831,0.3188,0.6606,1.56e-07
resnet18_version_11_6611,61,0.2615,0.5833,0.319,0.6617,7.81e-08
resnet18_version_11_6611,62,0.2608,0.5826,0.3189,0.6619,7.81e-08
resnet18_version_11_6611,63,0.2608,0.5823,0.3193,0.6616,7.81e-08
resnet18_version_11_6611,64,0.2608,0.5822,0.3193,0.6614,7.81e-08
resnet18_version_11_6611,65,0.2617,0.5837,0.3197,0.6619,7.81e-08
resnet18_version_11_6611,66,0.261,0.5824,0.319,0.6604,7.81e-08
resnet18_version_11_6611,67,0.2607,0.5818,0.3196,0.6622,3.91e-08
resnet18_version_11_6611,68,0.2608,0.5822,0.3188,0.661,3.91e-08
resnet18_version_11_6611,69,0.2608,0.5823,0.3186,0.6597,3.91e-08
resnet18_version_11_6611,70,0.2603,0.5814,0.3189,0.661,3.91e-08
resnet18_version_11_6611,71,0.2612,0.5827,0.3195,0.6614,3.91e-08
resnet18_version_11_6611,72,0.2605,0.5817,0.319,0.6612,3.91e-08
resnet18_version_11_6611,73,0.2605,0.5817,0.3193,0.6616,1.95e-08
resnet18_version_11_6611,74,0.2606,0.5819,0.3181,0.6598,1.95e-08
resnet18_version_11_6611,75,0.2605,0.5816,0.3192,0.6608,1.95e-08
resnet18_version_11_6611,76,0.2603,0.5815,0.3198,0.6618,1.95e-08
resnet18_version_11_6611,77,0.2609,0.5817,0.3199,0.6625,1.95e-08
resnet18_version_11_6611,78,0.2609,0.5826,0.3188,0.661,1.95e-08
resnet18_version_11_6611,79,0.2607,0.582,0.3195,0.6614,1.95e-08
resnet18_version_11_6611,80,0.2607,0.582,0.3192,0.6612,1.95e-08
resnet18_version_11_6611,81,0.2606,0.5821,0.3191,0.661,1.95e-08
resnet18_version_11_6611,82,0.2608,0.5824,0.3191,0.6612,1.95e-08
resnet18_version_11_6611,83,0.2606,0.5822,0.3191,0.6605,1.95e-08
resnet18_version_11_6611,84,0.2606,0.5817,0.3191,0.6608,1.95e-08
resnet18_version_11_6611,85,0.2611,0.5824,0.3186,0.6604,1.95e-08
resnet18_version_11_6611,86,0.2605,0.5819,0.3193,0.6612,1.95e-08
resnet18_version_11_6611,87,0.2613,0.5826,0.3192,0.6609,1.95e-08
resnet18_version_11_6611,88,0.2605,0.5816,0.3189,0.6608,1.95e-08
resnet18_version_11_6611,89,0.2609,0.5824,0.3184,0.6602,1.95e-08
resnet18_version_11_6611,90,0.2604,0.5814,0.3187,0.6602,1.95e-08
resnet18_version_11_6611,91,0.2613,0.5829,0.3193,0.6612,1.95e-08
resnet18_version_11_6611,92,0.2603,0.5813,0.3192,0.6613,1.95e-08
resnet18_version_11_6611,93,0.2609,0.5822,0.3183,0.6593,1.95e-08
resnet18_version_11_6611,94,0.2608,0.5822,0.3195,0.6622,1.95e-08
resnet18_version_11_6611,95,0.2603,0.5815,0.3193,0.6618,1.95e-08
resnet18_version_11_6611,96,0.2608,0.5823,0.3193,0.6609,1.95e-08
resnet18_version_11_6611,97,0.2601,0.5811,0.3191,0.6611,1.95e-08
resnet18_version_11_6611,98,0.2607,0.5823,0.3197,0.6623,1.95e-08
resnet18_version_11_6611,99,0.2606,0.5821,0.3194,0.662,1.95e-08
resnet18_version_11_6611,100,0.2608,0.582,0.3191,0.6611,1.95e-08
resnet18_version_12_6675,1,0.5723,0.9625,0.3824,0.7479,1e-05
resnet18_version_12_6675,2,0.4017,0.7743,0.363,0.7249,1e-05
resnet18_version_12_6675,3,0.378,0.7445,0.3437,0.7011,1e-05
resnet18_version_12_6675,4,0.3647,0.7271,0.3422,0.7011,1e-05
resnet18_version_12_6675,5,0.3553,0.7144,0.3367,0.6889,1e-05
resnet18_version_12_6675,6,0.3477,0.7046,0.3302,0.6842,1e-05
resnet18_version_12_6675,7,0.3401,0.6948,0.3287,0.6785,1e-05
resnet18_version_12_6675,8,0.3336,0.6863,0.3287,0.6794,1e-05
resnet18_version_12_6675,9,0.3291,0.6805,0.3273,0.6744,1e-05
resnet18_version_12_6675,10,0.3232,0.6727,0.3306,0.6838,1e-05
resnet18_version_12_6675,11,0.3188,0.6669,0.3243,0.6732,1e-05
